tick,x,y,hp,lives,bombs,state,battle,wave,alive,kills,brokenProps,target,reason,worldTick,keyLeft,keyRight,hitstop,ctxHitstop,camera,sessionState
0,105.0,450.0,100,3,3,RUNNING,false,0,0,0,0,route,advance,2,false,true,0,0,0.0,RUNNING
50,355.0,450.0,100,3,3,RUNNING,false,0,1,0,1,DRILLER,engage:DRILLER,52,false,true,0,0,41.88678297863437,RUNNING
120,615.0,450.0,100,3,3,RUNNING,false,0,2,0,1,DRILLER,engage:DRILLER,122,false,false,0,0,325.4800553032889,RUNNING
135,615.0,450.0,100,3,3,RUNNING,false,0,1,1,1,DRILLER,engage:DRILLER,137,false,false,4,0,326.8672264179417,RUNNING
231,1020.0,375.8,100,3,3,RUNNING,false,0,1,2,1,INTERRUPT,engage:INTERRUPT,229,false,false,4,0,721.5620298138451,RUNNING
240,1045.0,340.8,100,3,3,RUNNING,false,0,1,2,1,SLAG_SPITTER,engage:SLAG_SPITTER,234,false,true,0,0,736.6069343641865,RUNNING
360,1470.0,268.0,100,3,3,RUNNING,false,0,2,2,1,SLAG_SPITTER,engage:SLAG_SPITTER,354,false,true,0,0,1154.954276651321,RUNNING
480,1545.0,216.6,100,3,3,RUNNING,false,0,2,2,1,SLAG_SPITTER,engage:SLAG_SPITTER,474,false,false,0,0,1256.9999989046387,RUNNING
568,1545.0,337.8,100,3,3,RUNNING,false,0,1,3,1,INTERRUPT,engage:INTERRUPT,562,false,false,4,0,1256.9999999999993,RUNNING
575,1545.0,381.6,100,3,3,RUNNING,false,0,0,4,1,SLAG_SPITTER,engage:SLAG_SPITTER,565,false,false,4,0,1256.9999999999993,RUNNING
600,1650.0,450.0,100,3,3,RUNNING,false,0,0,4,1,route,advance,586,false,true,0,0,1334.6001253736188,RUNNING
704,2140.0,450.0,88,3,3,RUNNING,true,1,2,4,1,DRILLER,damage:engage:DRILLER,690,false,false,0,0,1699.9233509796006,RUNNING
713,2175.0,367.6,88,3,3,RUNNING,true,1,1,5,1,DRILLER,engage:DRILLER,699,false,true,4,0,1699.9822467879594,RUNNING
718,2180.0,360.0,88,3,3,RUNNING,true,1,0,6,1,DRILLER,engage:DRILLER,700,false,true,4,0,1699.9849097697654,RUNNING
720,2180.0,360.0,88,3,3,RUNNING,true,1,0,6,1,route,advance,700,false,true,2,0,1699.9849097697654,RUNNING
802,2505.0,232.6,88,3,3,RUNNING,true,2,1,7,1,INTERRUPT,engage:INTERRUPT,780,false,true,4,0,1699.9999999659428,RUNNING
812,2525.0,203.2,88,3,3,UPGRADE_SELECTION,true,2,0,8,1,INTERRUPT,engage:INTERRUPT,786,false,false,4,0,1699.9999999871554,UPGRADE_SELECTION
813,2525.0,203.2,88,3,3,RUNNING,true,2,0,8,1,INTERRUPT,upgrade:COMMIT_CRITICAL,786,false,false,3,0,1699.9999999871554,RUNNING
814,2525.0,203.2,88,3,3,RUNNING,true,2,0,8,1,route,advance,786,false,true,2,0,1699.9999999871554,RUNNING
840,2630.0,301.6,88,3,3,RUNNING,true,2,0,8,1,route,advance,810,false,true,0,0,1699.9999999997399,RUNNING
936,2640.0,425.8,100,3,3,RUNNING,false,0,1,8,2,DRILLER,engage:DRILLER,906,false,false,0,0,2351.9982613761126,RUNNING
960,2640.0,269.8,100,3,3,RUNNING,false,0,1,8,2,DRILLER,engage:DRILLER,930,false,false,0,0,2351.999964822898,RUNNING
1008,2640.0,450.0,100,3,3,RUNNING,false,0,0,9,2,DRILLER,engage:DRILLER,978,false,false,4,0,2351.999999985583,RUNNING
1080,2980.0,253.8,100,3,3,RUNNING,false,0,1,9,2,INTERRUPT,engage:INTERRUPT,1046,false,true,0,0,2663.6671162235,RUNNING
1143,3215.0,316.6,100,3,3,RUNNING,false,0,1,10,2,INTERRUPT,engage:INTERRUPT,1109,false,false,4,0,2922.3608406820194,RUNNING
1200,3460.0,450.0,100,3,3,RUNNING,false,0,1,10,2,SLAG_SPITTER,engage:SLAG_SPITTER,1162,false,true,0,0,3144.304566797175,RUNNING
1212,3500.0,450.0,100,3,3,RUNNING,false,0,1,11,2,SLAG_SPITTER,engage:SLAG_SPITTER,1174,false,false,4,0,3197.3434468642336,RUNNING
1320,3800.0,450.0,100,3,3,RUNNING,false,0,1,11,2,DRILLER,engage:DRILLER,1278,false,false,0,0,3512.027781320707,RUNNING
1331,3800.0,450.0,100,3,3,RUNNING,false,0,0,12,2,DRILLER,engage:DRILLER,1289,false,false,4,0,3512.04628185412,RUNNING
1440,4295.0,346.6,100,3,3,RUNNING,true,0,2,12,2,INTERRUPT,engage:INTERRUPT,1394,false,false,0,0,3983.812225461614,RUNNING
1461,4300.0,298.6,100,3,3,RUNNING,true,0,1,13,2,INTERRUPT,engage:INTERRUPT,1415,false,false,4,0,4008.2137925421084,RUNNING
1560,4570.0,106.6,100,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,engage:SLAG_SPITTER,1510,false,false,0,0,4199.997483609795,RUNNING
1680,4570.0,205.8,100,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,double-jump,1630,false,false,0,0,4199.999999999991,RUNNING
1765,4570.0,115.8,85,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,damage:engage:SLAG_SPITTER,1715,false,false,0,0,4199.999999999997,RUNNING
1800,4570.0,227.8,85,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,engage:SLAG_SPITTER,1750,false,false,0,0,4199.999999999997,RUNNING
1920,4570.0,96.6,85,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,engage:SLAG_SPITTER,1870,false,false,0,0,4199.999999999997,RUNNING
2040,4570.0,315.8,85,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,engage:SLAG_SPITTER,1990,false,false,0,0,4199.999999999997,RUNNING
2160,4570.0,73.8,85,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,engage:SLAG_SPITTER,2110,false,false,0,0,4199.999999999997,RUNNING
2280,4570.0,221.0,85,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,engage:SLAG_SPITTER,2230,false,false,0,0,4199.999999999997,RUNNING
2400,4570.0,137.4,85,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,engage:SLAG_SPITTER,2350,false,false,0,0,4199.999999999997,RUNNING
